date,etl_query_timestamp_utc,data_connector_source_name,data_connector_id,data_connector_username,data_connector_timestamp_utc,source,unified_campaign_name,unified_campaign_id,sub_campaign_id,sub_campaign_name,creative_name,creative_id,filtro_jbp,custom_impressions,custom_clicks,custom_installs,adn_cost,revenue_1d,revenue_7d,revenue_ltv,purchase_unique_1d,purchase_1d,purchase_unique_7d,purchase_7d,purchase_unique_ltv,purchase_ltv
26/05/2023,01/07/2023 03:10:18,Singular Attribution,frjxqyxb,,,Facebook,BRA_BRD_RTD_AONH1_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-1P-CSD-AQS,23853119786410441,23853489850450441,SOC_FBI_1P_QNP_BNTNAT_ABIBD_ABIBD_CPM_CDPCA-AND-1P-RTDCL117,BNR_VAR_STA_PACK_DFCY_2108_NET_NA,23853489850530441,JBP RACCOON,,,10,,"2208,6981","3255,4522","4967,6104",31,39,38,55,52,87
26/05/2023,01/07/2023 03:10:18,Singular Attribution,frjxqyxb,,,Facebook,BRA_BRD_BUD_AONBUDREGULAR_NA_NON_RMK_RAC_BFRACZE-FBI-CONV-1PZE-CSD-RET,23853959064160572,23853959389510572,SOC_FBI_1P_QNP_BNTNAT_RTG_RTG_CPM_CPM_AND-1PZECDP-FB031,VID_VAR_10_FAMILIA_DFCY_4_NET_BDAON-FA-FAM-NA-1002,23853967238920572,JBP RACCOON,,,2,,"1927,5194","2290,5022","4027,4203",28,29,32,38,38,70
26/05/2023,01/07/2023 03:10:18,Singular Attribution,frjxqyxb,,,Facebook,BRA_BRD_MLU_AONQ1_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-2P3P-CSD-AQS,23852820296870752,23852820513340752,SOC_FBI_2P_NQNP_BNTNAT_OTHERR_OTHERR_CPM_NA-AND-INT3P2P-FB076,IMG_VAR_STA_80PORCENTOMENOSCARB_DFCY_3_NET_MIAMI-LN-INT-NA-1001,23854081976370752,JBP RACCOON,,,10,,"762,8242","945,2057","1932,6393",13,17,13,21,15,38
26/05/2023,01/07/2023 03:10:18,Singular Attribution,frjxqyxb,,,Facebook,BRA_BRD_SPA_FUNCIONAL_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-1PZE-CSD-RET,23855161419890158,23855161420220158,SOC_FBI_1P_QNP_BNTNAT_RTG_RTG_CPM_AND-1PZE-SPACL13,BNR_VAR_STA_LIQUIDO_DFCY_4_NET_SPFUN-600-LIQ-NA-1002,23855161504510158,JBP RACCOON,,,1,,"151,2003","248,2705","638,144",2,3,2,6,3,15
26/05/2023,01/07/2023 03:10:18,Singular Attribution,frjxqyxb,,,Facebook,BRA_BRD_SPA_FUNCIONAL_NA_NON_ACQ_RAC_BFRACZE-FBI-3CO-2P-CSD-AQS,23855161673420158,23855161673490158,SOC_FBI_2P_NQNP_BNTNAT_OTHERR_OTHERR_CPM_AMP2P-FB059,BNR_VAR_STA_LIQUIDO_DFCY_5_NET_SPFUN-600-LIQ-NA-1002,23855161673480158,JBP RACCOON,,,39,,"18395,2494","26932,06","58120,0634",266,322,308,487,370,1069
26/05/2023,01/07/2023 03:10:18,Facebook,62hfmbga,lfelipedesantana@gmail.com,25/06/2023 21:42:11,Facebook,BRA_BRD_COR_NATURALS_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-1P-CSD-AQS,23853765673150471,23853765955530471,SOC_FBI_1P_QNP_BNTNAT_ABIBD_ABIBD_CPM_CDPCA-AND-1P-CORCL89,IMG_VAR_STA_PA_DFCY_3_NET_CNAQU-LN-OCA-NA-1001,23853765955500471,JBP RACCOON,267,5,,"3,4403",,,,,,,,,
26/05/2023,01/07/2023 03:10:18,Facebook,7an7y322,gu.hervas@gmail.com,25/06/2023 21:40:01,Facebook,BRA_BRD_BEK_AONQ1_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-3P-CSD-AQS,23854054940810429,23854054940800429,SOC_FBI_3PT_NQNP_BNTNAT_OTHERR_OTHERR_CPM_AND-TAIL3P-FB010,BNR_VAR_STA_ZEBEK_DFCY_18_NET_BEAON-LN-INT-FG-1001,23854054940850429,JBP RACCOON,670,4,,"8,5406",,,,,,,,,
26/05/2023,01/07/2023 03:10:18,Singular Attribution,frjxqyxb,,,Facebook,BRA_BRD_MLU_AONQ1_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-2P3P-CSD-AQS,23852820296870752,23852820513340752,SOC_FBI_2P_NQNP_BNTNAT_OTHERR_OTHERR_CPM_NA-AND-INT3P2P-FB076,IMG_VAR_STA_TESTEB_DFCY_1_NET_MIAOC-LN-INT-NA-1002,23853898718330752,JBP RACCOON,,,11,,"1267,887","2319,7505","3572,788",20,25,27,44,34,74
26/05/2023,01/07/2023 03:10:18,Facebook,7an7y322,gu.hervas@gmail.com,25/06/2023 21:50:49,Facebook,BRA_BRD_BRA_OCASIOES_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-1PZE-CSD-RET,23853633989280488,23853633989370488,SOC_FBI_1P_QNP_BNTNAT_RTG_RTG_CPM_CDPCA-NA-IOS-1PZE-BRACL156,BNR_VAR_STA_BRASILEIRAO_DFCY_20_NET_BRFU-LT-FUT-ATO-1004,23854295060010488,JBP RACCOON,3125,7,,"42,2012",,,,,,,,,
26/05/2023,01/07/2023 03:10:18,Singular Attribution,frjxqyxb,,,Facebook,BRA_BRD_PTG_AONINSTITUCIONAL_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-1PZE-CSD-RET,23853475841020410,23853475841030410,SOC_FBI_1P_QNP_BNTNAT_RTG_RTG_CPM_CDPCA-AND-1PZEPLX-FB006,VID_VAR_11_IPA_DFCY_569_NET_NA,23853475841270410,JBP RACCOON,,,,,"151,0714","151,0714","218,512",4,4,4,4,4,6
