date,unity,year,month,day,n
2020-01-01,ent,2020,1,1,0.0
2020-01-01,evo,2020,1,1,0.0
2020-01-01,int,2020,1,1,0.0
2020-01-01,pri,2020,1,1,0.0
2020-01-01,sai,2020,1,1,0.0
2020-01-02,ent,2020,1,2,0.0
2020-01-02,evo,2020,1,2,0.0
2020-01-02,int,2020,1,2,0.0
2020-01-02,pri,2020,1,2,0.0
2020-01-02,sai,2020,1,2,0.0
2020-01-03,ent,2020,1,3,0.0
2020-01-03,evo,2020,1,3,1.0
2020-01-03,int,2020,1,3,1.0
2020-01-03,pri,2020,1,3,1.0
2020-01-03,sai,2020,1,3,0.0
2020-01-04,ent,2020,1,4,315.0
2020-01-04,evo,2020,1,4,825.0
2020-01-04,int,2020,1,4,815.0
2020-01-04,pri,2020,1,4,883.0
2020-01-04,sai,2020,1,4,173.0
2020-01-05,ent,2020,1,5,487.0
2020-01-05,evo,2020,1,5,1767.0
2020-01-05,int,2020,1,5,1739.0
2020-01-05,pri,2020,1,5,1967.0
2020-01-05,sai,2020,1,5,277.0
2020-01-06,ent,2020,1,6,1091.0
2020-01-06,evo,2020,1,6,3109.0
2020-01-06,int,2020,1,6,3177.0
2020-01-06,pri,2020,1,6,3524.0
2020-01-06,sai,2020,1,6,614.0
2020-01-07,ent,2020,1,7,1073.0
2020-01-07,evo,2020,1,7,3110.0
2020-01-07,int,2020,1,7,3109.0
2020-01-07,pri,2020,1,7,3545.0
2020-01-07,sai,2020,1,7,678.0
2020-01-08,ent,2020,1,8,543.0
2020-01-08,evo,2020,1,8,1615.0
2020-01-08,int,2020,1,8,1693.0
2020-01-08,pri,2020,1,8,1813.0
2020-01-08,sai,2020,1,8,322.0
2020-01-09,ent,2020,1,9,889.0
2020-01-09,evo,2020,1,9,2352.0
2020-01-09,int,2020,1,9,2504.0
2020-01-09,pri,2020,1,9,2629.0
2020-01-09,sai,2020,1,9,533.0
2020-01-10,ent,2020,1,10,591.0
2020-01-10,evo,2020,1,10,1618.0
2020-01-10,int,2020,1,10,1710.0
2020-01-10,pri,2020,1,10,1795.0
2020-01-10,sai,2020,1,10,370.0
2020-01-11,ent,2020,1,11,266.0
2020-01-11,evo,2020,1,11,730.0
2020-01-11,int,2020,1,11,802.0
2020-01-11,pri,2020,1,11,851.0
2020-01-11,sai,2020,1,11,147.0
2020-01-12,ent,2020,1,12,1015.0
2020-01-12,evo,2020,1,12,2813.0
2020-01-12,int,2020,1,12,3043.0
2020-01-12,pri,2020,1,12,3242.0
2020-01-12,sai,2020,1,12,546.0
2020-01-13,ent,2020,1,13,0.0
2020-01-13,evo,2020,1,13,0.0
2020-01-13,int,2020,1,13,0.0
2020-01-13,pri,2020,1,13,0.0
2020-01-13,sai,2020,1,13,0.0
2020-01-14,ent,2020,1,14,0.0
2020-01-14,evo,2020,1,14,0.0
2020-01-14,int,2020,1,14,0.0
2020-01-14,pri,2020,1,14,0.0
2020-01-14,sai,2020,1,14,0.0
2020-01-15,ent,2020,1,15,0.0
2020-01-15,evo,2020,1,15,0.0
2020-01-15,int,2020,1,15,0.0
2020-01-15,pri,2020,1,15,0.0
2020-01-15,sai,2020,1,15,0.0
2020-01-16,ent,2020,1,16,0.0
2020-01-16,evo,2020,1,16,0.0
2020-01-16,int,2020,1,16,0.0
2020-01-16,pri,2020,1,16,0.0
2020-01-16,sai,2020,1,16,0.0
2020-01-17,ent,2020,1,17,0.0
2020-01-17,evo,2020,1,17,0.0
2020-01-17,int,2020,1,17,0.0
2020-01-17,pri,2020,1,17,0.0
2020-01-17,sai,2020,1,17,0.0
2020-01-18,ent,2020,1,18,0.0
2020-01-18,evo,2020,1,18,0.0
2020-01-18,int,2020,1,18,0.0
2020-01-18,pri,2020,1,18,0.0
2020-01-18,sai,2020,1,18,0.0
2020-01-19,ent,2020,1,19,0.0
2020-01-19,evo,2020,1,19,0.0
2020-01-19,int,2020,1,19,0.0
2020-01-19,pri,2020,1,19,0.0
2020-01-19,sai,2020,1,19,0.0
2020-01-20,ent,2020,1,20,0.0
2020-01-20,evo,2020,1,20,0.0
2020-01-20,int,2020,1,20,0.0
2020-01-20,pri,2020,1,20,0.0
2020-01-20,sai,2020,1,20,0.0
2020-01-21,ent,2020,1,21,0.0
2020-01-21,evo,2020,1,21,0.0
2020-01-21,int,2020,1,21,0.0
2020-01-21,pri,2020,1,21,0.0
2020-01-21,sai,2020,1,21,0.0
2020-01-22,ent,2020,1,22,0.0
2020-01-22,evo,2020,1,22,0.0
2020-01-22,int,2020,1,22,0.0
2020-01-22,pri,2020,1,22,0.0
2020-01-22,sai,2020,1,22,0.0
2020-01-23,ent,2020,1,23,0.0
2020-01-23,evo,2020,1,23,0.0
2020-01-23,int,2020,1,23,0.0
2020-01-23,pri,2020,1,23,0.0
2020-01-23,sai,2020,1,23,0.0
2020-01-24,ent,2020,1,24,0.0
2020-01-24,evo,2020,1,24,0.0
2020-01-24,int,2020,1,24,0.0
2020-01-24,pri,2020,1,24,0.0
2020-01-24,sai,2020,1,24,0.0
2020-01-25,ent,2020,1,25,0.0
2020-01-25,evo,2020,1,25,0.0
2020-01-25,int,2020,1,25,0.0
2020-01-25,pri,2020,1,25,0.0
2020-01-25,sai,2020,1,25,0.0
2020-01-26,ent,2020,1,26,0.0
2020-01-26,evo,2020,1,26,0.0
2020-01-26,int,2020,1,26,0.0
2020-01-26,pri,2020,1,26,0.0
2020-01-26,sai,2020,1,26,0.0
2020-01-27,ent,2020,1,27,0.0
2020-01-27,evo,2020,1,27,0.0
2020-01-27,int,2020,1,27,0.0
2020-01-27,pri,2020,1,27,0.0
2020-01-27,sai,2020,1,27,0.0
2020-01-28,ent,2020,1,28,0.0
2020-01-28,evo,2020,1,28,0.0
2020-01-28,int,2020,1,28,0.0
2020-01-28,pri,2020,1,28,0.0
2020-01-28,sai,2020,1,28,0.0
2020-01-29,ent,2020,1,29,0.0
2020-01-29,evo,2020,1,29,0.0
2020-01-29,int,2020,1,29,0.0
2020-01-29,pri,2020,1,29,0.0
2020-01-29,sai,2020,1,29,0.0
2020-01-30,ent,2020,1,30,0.0
2020-01-30,evo,2020,1,30,0.0
2020-01-30,int,2020,1,30,0.0
2020-01-30,pri,2020,1,30,0.0
