Year ;Documents 
1962;1
1963;0
1964;1
1965;0
1966;0
1967;0
1968;0
1969;0
1970;3
1971;3
1972;7
1973;11
1974;10
1975;13
1976;10
1977;10
1978;5
1979;12
1980;6
1981;9
1982;12
1983;8
1984;4
1985;19
1986;15
1987;15
1988;12
1989;21
1990;27
1991;23
1992;33
1993;38
1994;24
1995;40
1996;42
1997;49
1998;37
1999;54
2000;55
2001;52
2002;48
2003;54
2004;64
2005;66
2006;84
2007;107
2008;131
2009;164
2010;144
2011;208
2012;191
2013;187
2014;209
2015;233
2016;262
2017;285
2018;299
2019;554
2020;606
