Year;Documents
1969;1
1970;1
1971;0
1972;1
1973;2
1974;9
1975;2
1976;4
1977;12
1978;16
1979;9
1980;7
1981;21
1982;14
1983;21
1984;12
1985;26
1986;25
1987;30
1988;43
1989;41
1990;48
1991;51
1992;71
1993;61
1994;59
1995;112
1996;121
1997;126
1998;134
1999;175
2000;205
2001;249
2002;252
2003;268
2004;280
2005;399
2006;528
2007;573
2008;636
2009;780
2010;843
2011;957
2012;1039
2013;1223
2014;1275
2015;1492
2016;1584
2017;1801
2018;2195
2019;2774
2020;3514
