Year ;Documents 
1940;1
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;2
1948;0
1949;0
1950;1
1951;0
1952;0
1953;0
1954;1
1955;2
1956;0
1957;1
1958;2
1959;1
1960;3
1961;0
1962;3
1963;1
1964;2
1965;2
1966;4
1967;1
1968;1
1969;0
1970;6
1971;1
1972;2
1973;2
1974;3
1975;2
1976;3
1977;1
1978;4
1979;2
1980;4
1981;5
1982;7
1983;13
1984;5
1985;8
1986;6
1987;9
1988;9
1989;10
1990;5
1991;16
1992;10
1993;18
1994;12
1995;22
1996;41
1997;46
1998;43
1999;52
2000;58
2001;54
2002;64
2003;85
2004;93
2005;109
2006;127
2007;126
2008;202
2009;201
2010;215
2011;248
2012;263
2013;326
2014;320
2015;341
2016;334
2017;376
2018;371
2019;407
2020;496
