Year;Documents
1958;2
1959;2
1960;1
1961;2
1962;0
1963;0
1964;0
1965;3
1966;0
1967;1
1968;4
1969;7
1970;9
1971;18
1972;21
1973;23
1974;50
1975;43
1976;41
1977;43
1978;44
1979;46
1980;53
1981;53
1982;50
1983;80
1984;91
1985;107
1986;95
1987;88
1988;92
1989;120
1990;107
1991;125
1992;143
1993;163
1994;219
1995;222
1996;308
1997;315
1998;343
1999;393
2000;423
2001;464
2002;496
2003;488
2004;542
2005;639
2006;1304
2007;1580
2008;1448
2009;1124
2010;1188
2011;1189
2012;1195
2013;1295
2014;1376
2015;1432
2016;1709
2017;1842
2018;1944
2019;2645
2020;2895
