,date,week,unity,n
5,2020-02-01,5,int,1
10,2020-03-01,9,evo,4
11,2020-03-01,9,int,2
12,2020-03-01,9,pri,49
17,2020-04-01,14,ent,288
18,2020-04-01,14,evo,432
19,2020-04-01,14,int,762
20,2020-04-01,14,pri,1339
21,2020-04-01,14,sai,92
26,2020-05-01,18,ent,712
27,2020-05-01,18,evo,1807
28,2020-05-01,18,int,2412
29,2020-05-01,18,pri,4744
30,2020-05-01,18,sai,249
35,2020-06-01,23,ent,892
36,2020-06-01,23,evo,2607
37,2020-06-01,23,int,2790
38,2020-06-01,23,pri,4693
39,2020-06-01,23,sai,461
42,2020-07-01,27,ent,1002
43,2020-07-01,27,evo,2810
44,2020-07-01,27,int,2946
45,2020-07-01,27,pri,4855
46,2020-07-01,27,sai,531
51,2020-08-01,31,ent,799
52,2020-08-01,31,evo,2368
53,2020-08-01,31,int,2307
54,2020-08-01,31,pri,3834
55,2020-08-01,31,sai,496
56,2020-09-01,36,ent,738
57,2020-09-01,36,evo,2313
58,2020-09-01,36,int,2212
59,2020-09-01,36,pri,3011
60,2020-09-01,36,sai,531
61,2020-10-01,40,ent,583
62,2020-10-01,40,evo,1716
63,2020-10-01,40,int,1657
64,2020-10-01,40,pri,2318
65,2020-10-01,40,sai,413
66,2020-11-01,44,ent,524
67,2020-11-01,44,evo,996
68,2020-11-01,44,int,1211
69,2020-11-01,44,pri,2430
70,2020-11-01,44,sai,259
71,2020-12-01,49,ent,933
72,2020-12-01,49,evo,2263
73,2020-12-01,49,int,2947
74,2020-12-01,49,pri,4563
75,2020-12-01,49,sai,478
82,2020-02-02,5,int,1
87,2020-03-02,10,ent,2
88,2020-03-02,10,int,5
89,2020-03-02,10,pri,28
94,2020-04-02,14,ent,307
95,2020-04-02,14,evo,493
96,2020-04-02,14,int,852
97,2020-04-02,14,pri,995
98,2020-04-02,14,sai,108
103,2020-05-02,18,ent,683
104,2020-05-02,18,evo,1765
105,2020-05-02,18,int,2269
106,2020-05-02,18,pri,3034
107,2020-05-02,18,sai,308
111,2020-06-02,23,ent,848
112,2020-06-02,23,evo,2578
113,2020-06-02,23,int,2750
114,2020-06-02,23,pri,2969
115,2020-06-02,23,sai,438
118,2020-07-02,27,ent,977
119,2020-07-02,27,evo,2875
120,2020-07-02,27,int,3038
121,2020-07-02,27,pri,3251
122,2020-07-02,27,sai,526
126,2020-08-02,31,ent,838
127,2020-08-02,31,evo,2107
128,2020-08-02,31,int,2203
129,2020-08-02,31,pri,2472
130,2020-08-02,31,sai,506
132,2020-09-02,36,ent,722
133,2020-09-02,36,evo,2298
134,2020-09-02,36,int,2055
135,2020-09-02,36,pri,1920
136,2020-09-02,36,sai,504
137,2020-10-02,40,ent,570
138,2020-10-02,40,evo,1806
139,2020-10-02,40,int,1610
140,2020-10-02,40,pri,1525
141,2020-10-02,40,sai,373
142,2020-11-02,45,ent,497
143,2020-11-02,45,evo,1059
144,2020-11-02,45,int,1374
145,2020-11-02,45,pri,1677
146,2020-11-02,45,sai,242
147,2020-12-02,49,ent,975
148,2020-12-02,49,evo,2331
149,2020-12-02,49,int,2869
150,2020-12-02,49,pri,2916
151,2020-12-02,49,sai,479
160,2020-03-03,10,ent,2
161,2020-03-03,10,evo,1
162,2020-03-03,10,int,6
163,2020-03-03,10,pri,39
168,2020-04-03,14,ent,321
169,2020-04-03,14,evo,493
170,2020-04-03,14,int,763
171,2020-04-03,14,pri,1078
172,2020-04-03,14,sai,117
176,2020-05-03,18,ent,660
177,2020-05-03,18,evo,1760
178,2020-05-03,18,int,2182
179,2020-05-03,18,pri,3007
180,2020-05-03,18,sai,264
185,2020-06-03,23,ent,882
186,2020-06-03,23,evo,2595
187,2020-06-03,23,int,2671
188,2020-06-03,23,pri,2850
189,2020-06-03,23,sai,468
193,2020-07-03,27,ent,961
194,2020-07-03,27,evo,2804
195,2020-07-03,27,int,2835
196,2020-07-03,27,pri,3449
197,2020-07-03,27,sai,534
199,2020-08-03,32,ent,906
200,2020-08-03,32,evo,2946
201,2020-08-03,32,int,2714
202,2020-08-03,32,pri,2600
203,2020-08-03,32,sai,643
204,2020-09-03,36,ent,742
205,2020-09-03,36,evo,2244
206,2020-09-03,36,int,2120
207,2020-09-03,36,pri,1826
208,2020-09-03,36,sai,465
210,2020-10-03,40,ent,490
211,2020-10-03,40,evo,1401
212,2020-10-03,40,int,1328
213,2020-10-03,40,pri,1284
214,2020-10-03,40,sai,291
215,2020-11-03,45,ent,531
216,2020-11-03,45,evo,1301
217,2020-11-03,45,int,1511
218,2020-11-03,45,pri,1686
219,2020-11-03,45,sai,287
220,2020-12-03,49,ent,979
221,2020-12-03,49,evo,2269
222,2020-12-03,49,int,2916
223,2020-12-03,49,pri,2801
224,2020-12-03,49,sai,469
234,2020-03-04,10,ent,1
235,2020-03-04,10,evo,1
236,2020-03-04,10,int,5
237,2020-03-04,10,pri,22
242,2020-04-04,14,ent,289
243,2020-04-04,14,evo,493
