,date,week,unity,n
5,2020-02-01,5,int,1
11,2020-03-01,9,evo,4
12,2020-03-01,9,int,2
13,2020-03-01,9,not,1
19,2020-04-01,14,ent,288
20,2020-04-01,14,evo,432
21,2020-04-01,14,int,762
22,2020-04-01,14,not,884
23,2020-04-01,14,sai,92
29,2020-05-01,18,ent,712
30,2020-05-01,18,evo,1807
31,2020-05-01,18,int,2412
32,2020-05-01,18,not,1967
33,2020-05-01,18,sai,249
39,2020-06-01,23,ent,892
40,2020-06-01,23,evo,2607
41,2020-06-01,23,int,2790
42,2020-06-01,23,not,3524
43,2020-06-01,23,sai,461
47,2020-07-01,27,ent,1002
48,2020-07-01,27,evo,2810
49,2020-07-01,27,int,2946
50,2020-07-01,27,not,3545
51,2020-07-01,27,sai,531
57,2020-08-01,31,ent,799
58,2020-08-01,31,evo,2368
59,2020-08-01,31,int,2307
60,2020-08-01,31,not,1813
61,2020-08-01,31,sai,496
63,2020-09-01,36,ent,738
64,2020-09-01,36,evo,2313
65,2020-09-01,36,int,2212
66,2020-09-01,36,not,2629
67,2020-09-01,36,sai,531
68,2020-10-01,40,ent,583
69,2020-10-01,40,evo,1716
70,2020-10-01,40,int,1657
71,2020-10-01,40,not,1795
72,2020-10-01,40,sai,413
73,2020-11-01,44,ent,524
74,2020-11-01,44,evo,996
75,2020-11-01,44,int,1211
76,2020-11-01,44,not,851
77,2020-11-01,44,sai,259
78,2020-12-01,49,ent,933
79,2020-12-01,49,evo,2263
80,2020-12-01,49,int,2947
81,2020-12-01,49,not,3242
82,2020-12-01,49,sai,478
89,2020-02-02,5,int,1
95,2020-03-02,10,ent,2
96,2020-03-02,10,int,5
97,2020-03-02,10,not,5
103,2020-04-02,14,ent,307
104,2020-04-02,14,evo,493
105,2020-04-02,14,int,852
106,2020-04-02,14,not,896
107,2020-04-02,14,sai,108
113,2020-05-02,18,ent,683
114,2020-05-02,18,evo,1765
115,2020-05-02,18,int,2269
116,2020-05-02,18,not,1772
117,2020-05-02,18,sai,308
122,2020-06-02,23,ent,848
123,2020-06-02,23,evo,2578
124,2020-06-02,23,int,2750
125,2020-06-02,23,not,3200
126,2020-06-02,23,sai,438
130,2020-07-02,27,ent,977
131,2020-07-02,27,evo,2875
132,2020-07-02,27,int,3038
133,2020-07-02,27,not,3542
134,2020-07-02,27,sai,526
139,2020-08-02,31,ent,838
140,2020-08-02,31,evo,2107
141,2020-08-02,31,int,2203
142,2020-08-02,31,not,1610
143,2020-08-02,31,sai,506
145,2020-09-02,36,ent,722
146,2020-09-02,36,evo,2298
147,2020-09-02,36,int,2055
148,2020-09-02,36,not,2432
149,2020-09-02,36,sai,504
150,2020-10-02,40,ent,570
151,2020-10-02,40,evo,1806
152,2020-10-02,40,int,1610
153,2020-10-02,40,not,1813
154,2020-10-02,40,sai,373
155,2020-11-02,45,ent,497
156,2020-11-02,45,evo,1059
157,2020-11-02,45,int,1374
158,2020-11-02,45,not,986
159,2020-11-02,45,sai,242
160,2020-12-02,49,ent,975
161,2020-12-02,49,evo,2331
162,2020-12-02,49,int,2869
163,2020-12-02,49,not,3032
164,2020-12-02,49,sai,479
175,2020-03-03,10,ent,2
176,2020-03-03,10,evo,1
177,2020-03-03,10,int,6
178,2020-03-03,10,not,2
184,2020-04-03,14,ent,321
185,2020-04-03,14,evo,493
186,2020-04-03,14,int,763
187,2020-04-03,14,not,781
188,2020-04-03,14,sai,117
