var01,var02,var03,var04,var05,var06,var07,var08,var09,var10,var11,var12,var13,var14,var15
True,n001,,49,,,s15,2/27/2022 19:06,0,,,,,6,0
True,n002,,,,,s41,2/9/2022 13:47,4,,10,,,,4
True,n003,a,59,,,s28,2/2/2022 19:47,-7,10,10,10,10,10,-7
True,n004,a,47,,,s12,2/6/2022 1:11,4,,10,,,,4
True,n005,,71,,,s03,2/2/2022 18:33,2,9,9,7,8,11,2
True,n006,,68,,,s44,2/28/2022 2:53,-10,,,,,,-10
True,n007,,43,,,s38,2/4/2022 21:39,4,,,,,,4
True,n008,,,,,s32,2/3/2022 18:57,4,9,7,7,7,11,4
True,n009,a,58,,,s25,2/23/2022 20:41,-9,0,5,0,4,0,-9
True,n010,,,,,s03,2/2/2022 18:29,-10,,0,,,,-10
True,n011,a,63,,,s13,2/28/2022 11:16,3,8,8,8,7,9,3
True,n012,a,34,,,s12,2/3/2022 0:24,-2,9,9,9,9,8,-2
True,n013,,52,,,s29,2/1/2022 0:45,-10,,,,,,-10
True,n014,,67,32,1,s15,2/4/2022 15:54,5,10,10,8,8,6,5
True,n015,,,,,s05,2/23/2022 3:29,1,5,5,5,5,5,1
True,n016,a,64,,,s04,2/22/2022 2:12,1,7,6,6,6,8,1
True,n017,,55,,,s20,2/24/2022 19:59,3,9,10,9,8,8,3
True,n018,,,,,s38,2/4/2022 22:49,2,8,8,8,8,8,2
True,n019,a,54,,,s12,2/4/2022 4:31,3,9,10,10,9,9,3
True,n020,a,64,,,s43,2/2/2022 1:57,-5,10,10,5,10,10,-5
True,n021,,,,,s41,2/23/2022 17:57,3,,10,,,,3
True,n022,,57,,,s15,2/3/2022 0:44,-7,,,,,,-7
True,n023,,75,,,s07,2/1/2022 15:52,-10,,0,,,,-10
True,n024,b,56,,,s30,2/22/2022 14:52,-10,3,2,1,1,1,-10
True,n025,a,72,,,s44,2/27/2022 15:57,2,,,,,9,2
True,n026,,42,,,s06,2/22/2022 18:49,4,10,10,8,9,9,4
True,n027,a,74,,,s31,2/8/2022 8:58,2,9,7,6,8,8,2
True,n028,a,32,,,s24,2/3/2022 17:59,-7,9,10,9,9,9,-7
True,n029,,45,,,s20,2/28/2022 13:10,1,7,7,7,5,8,1
True,n030,a,60,165,1,s38,2/6/2022 0:03,3,8,7,7,9,9,3
True,n031,a,68,,,s12,2/7/2022 15:20,4,10,10,5,5,8,4
True,n032,,,,,s23,2/28/2022 15:05,2,,,,,8,2
True,n033,a,80,,,s39,2/3/2022 16:21,2,,,,,,2
True,n034,a,64,,,s32,2/5/2022 19:36,4,,10,,,,4
True,n035,,,,,s20,2/1/2022 17:15,-1,,10,,,,-1
True,n036,a,72,30,2,s07,2/22/2022 13:06,-10,,,,,,-10
True,n037,c,57,,,s21,2/8/2022 17:51,4,10,,,,,4
True,n038,,66,,,s39,2/5/2022 18:18,-10,0,0,0,0,0,-10
True,n039,b,67,,,s03,2/23/2022 19:35,4,10,10,10,10,10,4
True,n040,,55,,,s41,2/25/2022 23:09,2,,,,,,2
True,n041,a,66,,,s32,2/2/2022 1:38,-5,,,,,,-5
True,n042,a,70,,,s31,2/10/2022 23:00,2,,8,,,,2
True,n043,,,,,#N/D,2/9/2022 2:02,2,,,,,8,2
True,n044,a,121,4,1,s37,2/2/2022 22:37,2,8,,,,,2
True,n045,a,55,,,s20,2/8/2022 14:10,-10,1,2,0,1,0,-10
True,n046,a,64,,,s39,2/24/2022 14:31,3,9,9,9,9,9,3
True,n047,a,69,,,s03,2/1/2022 4:54,-1,10,,,,,-1
True,n048,,58,7,1,s38,2/24/2022 14:35,3,9,8,9,8,6,3
True,n049,,,,,s20,2/5/2022 21:13,2,,9,,,,2
True,n050,a,65,,,s17,2/22/2022 21:05,4,,10,,,,4
True,n051,,69,,,s29,2/27/2022 18:33,1,7,5,5,5,11,1
True,n052,a,69,,,s39,2/4/2022 20:57,2,7,7,5,6,7,2
True,n053,a,70,75,1,s07,2/1/2022 14:41,-1,10,10,10,10,9,-1
True,n054,a,53,,,s43,2/26/2022 13:57,-10,,5,,,,-10
True,n055,,70,,,s38,2/16/2022 20:29,-10,4,2,3,3,4,-10
True,n056,,,,,s06,2/8/2022 15:53,-2,5,5,5,5,5,-2
True,n057,a,63,,,s05,2/6/2022 4:27,-10,0,0,0,0,0,-10
True,n058,a,64,,,s20,2/9/2022 21:52,-2,,,,,5,-2
True,n059,a,76,,,s12,2/6/2022 18:09,4,10,8,8,7,7,4
True,n060,a,66,,,s12,2/6/2022 21:53,2,8,5,1,1,2,2
True,n061,a,75,,,s12,2/26/2022 18:45,4,,,,,,4
True,n062,a,56,,,s21,2/28/2022 13:38,0,6,9,5,6,6,0
True,n063,,67,,,s24,2/22/2022 15:57,4,7,5,5,4,1,4
True,n064,a,75,11,1,s03,2/1/2022 1:14,-1,,,,,,-1
True,n065,a,59,20,1,s28,2/10/2022 17:35,4,10,10,10,10,10,4
True,n066,,73,,,s38,2/24/2022 20:11,4,10,10,10,9,11,4
True,n067,,63,,,s10,2/24/2022 21:01,-10,5,4,5,5,5,-10
True,n068,a,79,,,s22,2/22/2022 17:11,4,,,,,10,4
True,n069,c,81,,,s43,2/10/2022 20:30,3,9,8,6,9,9,3
True,n070,,,,,s18,2/4/2022 4:59,4,9,10,9,9,11,4
True,n071,a,59,,,s03,2/24/2022 20:37,4,10,,,,,4
True,n072,,,,,#N/D,2/11/2022 15:27,-10,,0,,,,-10
True,n073,,60,,,s07,2/22/2022 23:25,2,9,9,7,9,11,2
True,n074,,,,,s39,2/28/2022 2:55,4,,,,,,4
True,n075,a,80,,,s15,2/6/2022 19:03,4,10,10,10,10,10,4
True,n076,a,68,,,s41,2/1/2022 12:37,1,,,,,,1
True,n077,a,57,,,s01,2/4/2022 2:34,4,10,10,7,10,8,4
True,n078,a,62,,,s03,2/1/2022 0:11,-10,4,,,,,-10
True,n079,a,62,4,1,s08,2/23/2022 16:37,4,,10,,,,4
True,n080,,,,,s22,2/28/2022 15:27,4,10,8,10,10,10,4
True,n081,a,84,28,1,s41,2/28/2022 18:24,4,10,,,,,4
True,n082,a,51,,,s43,2/24/2022 3:22,4,,,,,,4
True,n083,,80,,,s08,2/2/2022 21:22,2,9,9,8,8,8,2
True,n084,,72,,,s20,2/25/2022 9:58,-10,1,1,0,1,0,-10
True,n085,a,77,,,s12,2/8/2022 3:17,1,5,6,3,5,5,1
