OBS;Ano;TRIMESTRE;MARCA;ORIGEM;OBJETIVO;LL;P1;P2;P3;INVESTIMENTO;LUCRO;ROI
1;2021;T2;Marca1;Origem1;Objetivo1;;9479280,949;239975;39700837,28;38770,21759;41339,29463;1,066264189
2;2021;T2;Marca1;Origem2;Objetivo1;;33459864,76;478635;71974877,54;61362,87196;75183,44326;1,22522693
3;2021;T2;Marca1;Origem3;Objetivo1;;;;39251146;69688,08579;47008,63202;0,674557659
4;2021;T2;Marca2;Origem1;Objetivo1;;4344180;;101037504;97638,08;174763,6921;1,78991324
5;2021;T2;Marca2;Origem2;Objetivo1;;11056932;;424764281,4;293678,24;431466,2218;1,469180086
6;2021;T2;Marca2;Origem3;Objetivo1;;160738;;132502983,9;186986,19;144219,7435;0,771285534
7;2021;T2;Marca3;Origem4;Objetivo1;;;;4505070;11538,62214;15797,97005;1,369138347
8;2021;T2;Marca3;Origem5;Objetivo1;;;;2547734;22948,89863;41048,26259;1,788681159
9;2021;T2;Marca3;Origem1;Objetivo1;;18156818,46;52964982,27;73533227,15;138558,8431;276154,4222;1,993047978
10;2021;T2;Marca3;Origem2;Objetivo1;;23174580,44;68155599,78;183185076,7;127478,0234;299657,8861;2,350663103
11;2021;T2;Marca3;Origem3;Objetivo1;;1600747;;64931748;95877,89739;115498,4859;1,204641415
12;2021;T2;Marca4;Origem1;Objetivo1;;262588743,1;;198447231;370306,9796;503158,4176;1,358760286
13;2021;T2;Marca4;Origem2;Objetivo1;;240762524,9;;201889610,5;264414,2852;405139,3043;1,532214131
14;2021;T2;Marca5;Origem1;Objetivo1;;10483960,46;;136631685,4;119751,0444;252228,3428;2,106272593
15;2021;T2;Marca5;Origem2;Objetivo1;;361931;;169140335,5;95831,12483;249109,8984;2,599467541
16;2021;T2;Marca5;Origem3;Objetivo1;;;;35448984;56032,71269;75036,41462;1,339153702
17;2021;T2;Marca6;Origem1;Objetivo1;;39787407,96;;191893953,4;256707,2731;661297,5445;2,576076387
18;2021;T2;Marca6;Origem2;Objetivo1;;107199396,1;;88354440,93;131545,5316;363170,3909;2,760796102
19;2021;T2;Marca6;Origem3;Objetivo1;;;;12136613;22584,08955;24436,58641;1,082026634
20;2021;T3;Marca1;Origem4;Objetivo1;;;;2766235;1437,251049;1160,854607;0,807690909
21;2021;T3;Marca1;Origem1;Objetivo1;17888664;2222919;32677660;3825903;53603,44848;54966,66501;1,025431508
22;2021;T3;Marca1;Origem2;Objetivo1;57729611;2893078;77345974;6336394;74309,39076;91649,64901;1,233352179
23;2021;T3;Marca1;Origem3;Objetivo1;;;;3575093;5431,674062;5517,492745;1,015799675
