Year;Documents
1858;1
1859;0
1860;0
1861;0
1862;0
1863;0
1864;0
1865;0
1866;0
1867;0
1868;0
1869;0
1870;0
1871;0
1872;0
1873;0
1874;0
1875;0
1876;0
1877;0
1878;0
1879;0
1880;0
1881;0
1882;0
1883;0
1884;0
1885;0
1886;0
1887;0
1888;0
1889;0
1890;0
1891;0
1892;1
1893;0
1894;0
1895;0
1896;0
1897;2
1898;1
1899;0
1900;0
1901;0
1902;0
1903;0
1904;0
1905;2
1906;0
1907;0
1908;0
1909;0
1910;0
1911;1
1912;1
1913;0
1914;0
1915;0
1916;0
1917;0
1918;0
1919;0
1920;1
1921;0
1922;0
1923;0
1924;0
1925;0
1926;1
1927;1
1928;1
1929;2
1930;4
1931;1
1932;1
1933;2
1934;1
1935;1
1936;3
1937;2
1938;4
1939;3
1940;5
1941;2
1942;4
1943;1
1944;2
1945;0
1946;3
1947;6
1948;7
1949;1
1950;8
1951;11
1952;10
1953;12
1954;11
1955;13
1956;9
1957;14
1958;15
1959;20
1960;31
1961;15
1962;28
1963;48
1964;32
1965;64
1966;81
1967;87
1968;109
1969;169
1970;240
1971;233
1972;230
1973;332
1974;393
1975;406
1976;462
1977;497
1978;507
1979;586
1980;672
1981;681
1982;810
1983;886
1984;1053
1985;1164
1986;1147
1987;1243
1988;1351
1989;1363
1990;1481
1991;1572
1992;1705
1993;1716
1994;2201
1995;2458
1996;2777
1997;3042
1998;3429
1999;3576
2000;3638
2001;4003
2002;3910
2003;3991
2004;4381
2005;4807
2006;5934
2007;7541
2008;7787
2009;8382
2010;9334
2011;10076
2012;10510
2013;12023
2014;12701
2015;13220
2016;14363
2017;15170
2018;16800
2019;19242
2020;19526
