Abstract;Ref
Open innovation is relatively a new category in organizations. Organizations are encouraged to share their R&D infrastructure in open innovation approach and attach other’s R&D and innovation to their own value chain through creating technical platforms or joint ventures. Social media is one of the tools of communication in the current business world. Social media creates a platform for cooperating and encouraging people for social activities. Considering the expanded role of social media in encouraging participation and gaining external knowledge in an organization, research is missing in this relationship. Papers dealing with social media and open innovation are really limited. So, in the current research, we study the results of using social media in open innovation. As there are limited researches, it is difficult to base a research project on available studies. So we study this area by deductive approach, Delphi method. In order to do so, we collected ideas of 12 experts from fintech industry and prioritized and analyzed them with the Delphi method and finally reached to 16 opportunities and 21 challenges. From experts' point of view, the most important opportunities are increasing the number and quality of received ideas. The most important challenges are creating new methods for receiving ideas to decrease unrelated content and information validation, and legislation. Finally we categorized the opportunities and challenges and presented them as a framework and model. © 2021 J. Adv. Inf. Technol. © 2021 by the authors.;Ref001
This investigation was carried out on the adoption of the e-money payment model with the application of a quantitative and qualitative approach (mixed methods). Online questionnaires, which included closed-ended questions on a Likert five-point scale and open-ended questions, were distributed through social media chat groups. Respondent samples were drawn from the population of adolescent customers in Indonesia. The collected questionnaires were verified for accuracy, reliability, and validity before the data were analyzed. Adequate data were used to test the relationship model between latent variables, and the relationship of latent variables in the model was tested using partial least squares by employing Smart-PLS 3.0 software and NVIVO 12 plus. The final analysis shows that the reasons for adopting e-money are practicality and convenience. The main reasons that customers adopt electronic money are its practicality, ease of use, efficient transaction time, faster payment, and the simplicity of the payment process. The final modeling formed good-fit inner and outer models. This model verifies the significant influence of social factors, effort expectancy, and facilitation conditions on e-money attitudes. Additionally, social factors, effort expectancy, and attitudes have a significant influence on e-money behavior. © 2020 by the authors.;Ref002
Efforts to use social media as a network tool for open innovations have not met expectations, or utilized its potential adequately. Recent research on identifying firms’ social media skill has not addressed the complex underlying mechanisms and calibration of social media capabilities. We explore how, why, and which resources an organization should integrate. Social media in NPD should be accompanied by carefully aligned R&D – marketing cooperation. Alignment results in efficient knowledge integration, but dis-alignment fails to tap enough ideas, or can lack information processing capacity. The alignment and disalignment hypotheses are tested using survey data of a sample of 101 innovative SMEs. In a second, configurational study we extend findings from Study 1 to determine micro level social media capabilities required. Results show that social media can be used for both radical and incremental innovation, but are more useful for service than for product innovation. © 2020 Elsevier Inc.;Ref003
This research focuses on how the tourism and hospitality industry is applying the paradigm of open innovation, supported by social media. Open innovation (OI) has been on the topical research agenda, but the previous literature lacks studies in the service sector and specifically for tourism companies. Moreover, the introduction of social media as a tool to implement open innovation is considered the main research gap. Structural equation modelling is applied to data from 181 Portuguese and Spanish companies to study both customer involvement in new product development and the perceptions and results in terms of turnover and competitiveness. The structure of the relationships between research and development, external openness and open innovation management is highlighted with statistical analysis. In addition, the introduction of social media adds value to the proposed model. Currently, there is a lack of available models to give structure to the OI paradigm and to allow us to manage it. The contribution of this research is a comparison of the explanatory power of three models that allow us to test how certain strategic guidelines in tourism companies influence each other and have a mediating or multiplier effect when linked to each other (nested models method). In conclusion, the originality of this research is based on the relationship between open innovation management and social media and the mediating effect of external openness. © 2020, Springer-Verlag GmbH Germany, part of Springer Nature.;Ref004
"Drawing upon the knowledge-based view, this study divides firm knowledge-processing capability (KPC) into market and technical knowledge-processing capabilities, and examines the moderating effect of social media use and two knowledge-processing capabilities on customer participation (CP) in new product development (NPD). The results show that social media use enhances the effect of customer participation on NPD performance (product innovativeness, market performance, and financial performance); firms’ two key capabilities (market knowledge-processing capability and technical knowledge-processing capability) further strengthen the moderating effect of social media use. Furthermore, the effect of customer participation on product innovativeness follows an inverted U-shape. This study not only confirms the crucial role of social media use and firm capabilities in customer participation in NPD but also provides firms with theoretical direction for how to use social media. © 2020, © KOSIME, ASIALICS, STEPI 2020.";Ref005
Retail firms are increasingly using social media for purposes other than traditional marketing, such as innovation. Yet, while the innovation literature has established the benefits of involving customers in the development of products/services through open innovation, the role of social media in innovation is not well understood. Accordingly, we investigate how social media drives innovation in retail businesses. Using data from 414 firms, we find that social media positively relates to radical and incremental innovation, mediated by multiple digital channels and moderated by digital capabilities. Consequently, we propose a social media dynamic capabilities framework to guide future research and innovation in retail business. © 2019 Elsevier Ltd;Ref006
Innovation is a concept that has received much attention in recent years. Innovation is one of the critical factors for organisational success and competitiveness. In Malaysia, innovative behaviour is still at the infancy stage, especially among SMEs. The innovation rate in Malaysia is also not reaching full potential yet. Although industrial revolution 4.0 is gaining popularity, SMEs remain relatively unaware of the importance of innovation. Therefore, a quantitative study will be conducted among Malaysian SMEs on how to improve innovation performance. The social media and entrepreneurial orientation are the enablers of innovation performance proposed in the present study. Social media is a tool used to interact with customers to acquire useful information in the development stage. Moreover, with the entrepreneurial orientation possessed by the organisation, it can lead the organisation toward innovation. Besides the two enablers of innovation performance, open innovation is also proposed as a mediator. Open innovation allows the organisation to explore outside knowledge and exploit internal resources to stay competitive. As such, open innovation is mediating social media and entrepreneurial orientation toward a better innovation performance among Malaysian SMEs in the era of industrial revolution 4.0. The present study also added knowledge to the theory of the knowledge-based view. © 2020, Primrose Hall Publishing Group.;Ref007
Purpose: The purpose of this paper is to examine how communication practices influence individuals’ team assembly and performance in open innovation contests. Design/methodology/approach: This study analyzed behavioral trace data of 4,651 teams and 19,317 participants from a leading open innovation platform, Kaggle. The analyses applied weighted least squares regression and weighted mediation analysis. Findings: Sharing online profiles positively relates to a person’s performance and likelihood of becoming a leader in open innovation teams. Team assembly effectiveness (one’s ability to team up with high-performing teammates) mediates the relationship between online profile sharing and performance. Moreover, sharing personal websites has a stronger positive effect on performance and likelihood of becoming a team leader, compared to sharing links to professional social networking sites (e.g. LinkedIn). Research limitations/implications: As team collaboration becomes increasingly common in open innovation, participants’ sharing of their online profiles becomes an important variable predicting their success. This study extends prior research on virtual team collaboration by highlighting the role of communication practices that occur in the team pre-assembly stage, as an antecedent of team assembly. It also addresses a long-standing debate about the credibility of information online by showing that a narrative-based online profile format (e.g. a personal website) can be more powerful than a standardized format (e.g. LinkedIn). Practical implications: Open innovation organizers should encourage online profile sharing among participants to facilitate effective team assembly in order to improve innovation outcomes. Originality/value: The current study highlights the importance of team assembly in open innovation, especially the role of sharing online profiles in this process. It connects two areas of research that are previously distant, one on team assembly and one on online profile sharing. It also adds new empirical evidence to the discussion about online information credibility. © 2020, Emerald Publishing Limited.;Ref008
Car-hailing platform governance is an emerging topic of research and practice. The governance of the data-driven platform economy is challenging the research paradigm of competition regulation in the context of open innovation. This research is trying to reveal the market allocation structure of China's online car-hailing industry from the perspective of personal data allocation by the study of Application Programming Interface (API) of sample platforms. On the basis of the networked nature of personal data allocation via APIs, this research constructs a mathematical model of the edge weight of data resource connections between platforms. Furthermore, this research optimises the structural hole analysis of complex networks to discuss the state of personal data resource allocation in China's car-hailing industry. Results reveal that there are obvious structural holes within the sample network. When compared with related indicators, we found that accessing personal data resources is an essential component of the sample network competition capability and sustainable innovation. Social media platforms and online payment platforms more greatly impact car-hailing platform competition than other types of platforms within the multi-sided market context. This research offers a research perspective of personal data allocation for further study of competition, regulation and sustainable innovation of data-driven platform economies. © 2019 by the authors.;Ref009
"Firms are increasingly leveraging social media tools to access knowledge from external actors, particularly customers and other users, to facilitate the innovation process and firm performance. Yet empirical research investigating the impact of external knowledge sourced via social media tools is scant; empirical studies that do exist are mixed, leading to calls for research into the conditions under which knowledge flows via social media from external actors contribute to innovation and firm performance. Using a large-scale survey of firms in Tasmania, Australia, this study examines how external knowledge flows from market-based actors sourced by social media influence innovation and business performance, and the extent to which modern human resource management (HRM)practices moderate this relationship. We find that while knowledge flows from market-based actors are positively related to innovativeness, the relationship between external knowledge flows via social media and innovativeness depends on the importance a firm places on modern HRM practices: a significant positive relationship exists between knowledge sourced via social media and innovativeness when firms attach high importance to modern HRM practices. In contrast, there is no significant relationship in firms in which modern HRM practices are of low importance. The study also shows that social media serves as a mediator for the effect of external knowledge flows on firm innovativeness when firms attach high importance to modern HRM practices. Furthermore, while the results demonstrate that innovativeness and firm performance are positively related, innovativeness does not translate into improved firm performance in firms that attach low importance to modern HRM practices. Taken together, the findings underscore the importance of modern HRM practices to enable knowledge inflows via social media to influence innovativeness, and innovativeness to translate into productivity benefits. © 2017 Elsevier Inc.";Ref010
Social media are privileged vehicles to generate rich data created with unprecedented multi-faceted insights to drive faster ideation and commercialisation of client-centric innovations. The essence of data generated through social media is rooted in the connections and relationships it enables between firms and their stakeholders, and represents one of the greatest assets for data-driven innovation. As most of the firms are still experiencing and trailblazing in this matter, the current challenge is therefore to learn how to benefit from social media's potential for innovation purposes. In the last decade, research interest has increased towards understanding social media – innovation interactions. The reliance on the wisdom of the crowd in driving major business decisions and shaping society's way of life is now well acknowledged in academic and business literature. Social media is increasingly used as a tool to manage knowledge flows within and across organisation boundaries in the process of innovation. Yet, conceptualisation of social media and innovation interaction and a systematic review of how far the field has come remains providential. Therefore, through a systematic literature review we aim to identify research trends and gaps in the field, conceptualise current paradigmatic views and therein provide clear propositions to guide future research. Based on a systematic review, 111 articles published in peer-reviewed journals and found in EBSCO Host® and Scopus® databases are descriptively analysed, with results synthesized across current research trends. Findings suggest social media is seen as enabler and driver of innovation, with behavioural and resource based perspectives being the most popular theoretical lens used by researchers. The originality of the paper is rooted in the comprehensive search and systematic review of studies in the discourse, which have not been unified to date. Implications for advancement of knowledge are embedded in the purposefully proposed theoretical, contextual and methodological perspectives, providing future research directions for exploring social media capability in innovation management. © 2018 Elsevier Inc.;Ref011
Social media are essentially changing the way firms communicate, create and collaborate in and for innovation. In this special issue introductory article, we take stock of the robust multi-faceted nature of research and practice at the intersection of social media (SM) and innovation. We introduce the nine papers included in this special issue and highlight the rich variety of their contribution with reference to our organising framework. Diagnosing from a strategic perspective, we position SM strategy in and for innovation as an overlapping interaction between dynamic capabilities (sensing, seizing, reconfiguration) and the level of stakeholder engagement (macro, meso, micro). We explain how each interaction holds distinctive synergy in an open and collaborative innovation process. This organising framework shows how the malleable nature of SM creates opportunities for firms to engage widely distributed knowledge sources, enhance innovation capabilities and empower internal human resources towards an open and collaborative culture. Yet, we warn that all is not as rosy as it seems and a purposeful and coherent strategy that delivers distinctive ‘co-ownership’ experiences is quintessential ingredient to realise profits from SM use in innovation. © 2019 Elsevier Inc.;Ref012
With firms' increasing use of social media platforms, such as online user innovation communities (OUICs), customers are actively participating in firm-sponsored innovation activity by posting and commenting on new ideas for improving the firms' products and services, or to develop new ones. While it has been suggested that OUICs promote user interactions, it is largely unclear how other users' feedback may stimulate a focal user's contribution to such OUICs. Drawing on a media usage theory, we identify multifaceted benefits from user feedback that are cognitive, integrative and affective in the archival comments received by a focal user, and examine their individual and joint impacts on the user's future contribution in terms of both ideating and commenting behavior. We conduct a longitudinal study by collecting a large-scale, quantitative data set from a leading OUIC between 2008 and 2015, which reveals novel findings on the nuanced role of user feedback on social media in stimulating innovation. © 2017 Elsevier Inc.;Ref013
Purpose: This paper aims to present a framework to guide managerial action for social media (SM) strategies for innovation by exploring its constituent elements – the “what” (SM types), the “who” (stakeholders to be reached), the “for” (innovation types) and the “how” (innovation process stages), as well as the value, benefits and barriers. Design/methodology/approach: A comprehensive and critical review of literature at the intersection of SM and innovation guides the development of a typology of SM types and their use across innovation types and stages. Findings: SM type and use tend to differ across innovation processes. The authors identify four types of SM in use across four stages of innovation, supporting six types of innovation, influenced by five categories of barriers, benefits and stakeholders each. Research limitations/implications: The research provides an integrative set of building blocks to consider for developing further studies of SM and innovation. Practical implications: By highlighting the intertwined aspects of SM and innovation in an open and collaborative environment, the paper calls for development of an SM readiness organisational diagnosis. It empowers managers with a coherent framework of different elements they should take into consideration when defining their SM strategies for innovation. Originality/value: Research on SM adoption and the extent of its usage for innovation purposes is still at its infancy. Given the increasingly open and collaborative innovation settings, the authors draw managerial attention to the need of SM strategies for innovation activities and provide a coherent analytical framework to guide action for organisational diagnosis. © 2019, Emerald Publishing Limited.;Ref014
"This study shows how the tourism sector is applying the new paradigm of open innovation (OI) supported by social media. We drew on a sample of 135 companies from the sector in the south of Portugal and Spain to perform a cluster analysis. Currently, OI is a challenge in tourism, and social media are a strategic tool. The main objective is to evaluate the impact of customer involvement in innovation performance. The results show positive impact of OI in new product development, moreover results derived in terms of turnover and competitiveness improve; however, it all depends on the innovation management model. Anyway, even today, formal adoption is still pending to achieve the desired outcomes but this research highlights how the sector is advancing in the direction of OI. © 2017, © 2017 Informa UK Limited, trading as Taylor & Francis Group.";Ref015
To sustain in today's ever-changing and competitive landscape, firms must work within and outside of their organizations' boundaries. Open innovation (OI) strategies such as external technology acquisition (ETA), and external technology exploitation (ETE), can effectively improve the innovation performance of the organizations. Technologies like social media can help organizations to scout for appropriate technology, and source for ideas and knowledge from external sources to support their innovations. Moreover, digitalization can hasten business operations and enhance the innovation process of the firm. Focusing on open innovation (OI), this study takes an integrated approach towards investigating the impact of OI strategies, technology scouting through social media, and digitalization vision on innovation and firm performance. Data were drawn from 153 organizations in Malaysia, and the partial least squares (PLS) method was used to analyze data. The findings revealed that ETE, technology scouting through social media, and digitalization vision have a significant relationship with innovation performance. This, in turn, shows a positive relationship with firm performance. However, ETA does not have a significant relationship with innovation performance in the Malaysia context. This study extends the current literature on OI through the use of specific technology variables, such as technology scouting through social media and digitalization vision to support organizations' innovation. © 2019 by the authors.;Ref016
"Purpose: This paper aims to explore how social media can be used strategically for delivering the promises of open innovation and examines the types of structure that can foster the integration of these new tools with more classic top-down innovation approaches. Design/methodology/approach: A single case study of, ALPHA (pseudonym), a multinational company that combined an integrated strategy and the creation of a lean structure with the full potential of social media. Findings: To take on the challenges of energy transition, ALPHA has implemented a low-cost approach allowing it to harness the promises of open innovation. This combined the introduction of a lean structure, two social media platforms and processes that ensured the integration of open innovation activities with existing departments. Research limitations/implications: The research is based on a single case study. Further research should be conducted to establish the generalization of the results. Practical implications: This paper highlights the key success factors in making such a light approach successful, namely, controlling cost and disruption of open innovation; integration matters; leveraging complementarities with existing social media initiatives; and bottom-up adoption. Originality/value: The research provides a unique approach that can be practically implemented to leverage social media to deliver the promises of open innovation and offers an original way of integrating social media lead innovation and open innovation strategies with more classic R&D activities. © 2018, Emerald Publishing Limited.";Ref017
Taking the knowledge-based view of the firm as its starting point, and acknowledging that knowledge can lie outside the firm, this research extends our understanding of how the growing social media trend can contribute to open innovation. It focuses specifically on small and medium-sized enterprises (SMEs), which tend to be resource constrained and might benefit particularly from leveraging social media platforms. The authors bring forward the notion that people flock to social media because they are motivated by a desire for social interaction. Indeed, the findings suggest that SMEs that put effort into connecting customers on social media – which the authors refer to as having a ‘social strategy’ – are likely to reap both customers’ involvement in innovation on social media and new knowledge of value for innovation. Examining differences between social media platforms used primarily for personal purposes and those used primarily for professional purposes, the authors find that a social strategy is more effective in the first category than in the second. This probably reflects differences in the social identities that people adopt on these two types of social media platforms. © 2018 British Academy of Management;Ref018
This paper aims to contribute to the debate on Open Innovation in the age of Big Data by shedding new light on the role that social networks can play as enabling platforms for tourists' involvement and sources for the creation and management of valuable knowledge assets. The huge amount of data generated on social media by tourists related to their travel experiences can be a valid source of open innovation. To achieve this aim, this paper presents evidence of a digital tourism experience, through a longitudinal case study of a destination in Apulia, a Southern European region. The findings of the study demonstrate how social Big Data could open up innovation processes that could be of support in defining sustainable tourism experiences in a destination. © 2018 by the authors.;Ref019
In the wake of new digital technologies, organizations rely increasingly on contributions by external actors to innovate or even to fulfill their core tasks, including strategy-making processes. These external actors may take the form of crowds, where actors are isolated and dispersed, or of communities, where these actors are related and self-identify as members of their communities. While we know that including new actors in strategy-making may lead to tensions, we know little about how these tensions differ when either crowds or communities are concerned. Investigating this question by analyzing open strategy-making initiatives conducted by two non-profit organizations (Creative Commons and Wikimedia), we find that tensions with communities may be resolved with increasing openness in strategy-making, while crowds are better compatible with more exclusive strategy-making practices. © 2017 Elsevier Ltd;Ref020
We suggest a Social Media Agency Robot that can be used for interactive communication between elderly people and the younger generation via existing Social Media. This robot system has been implemented on a cloud service and a single board computer embedded in a human-type robot, which is equipped with a microphone, camera, speaker, sensors, and network access function, so that elderly people can transmit and receive information by voice via Social Media without using smartphones. We employed LINE which is a proprietary application for instant communications on electronic devices such as smartphones. In LINE, we need to select a message destination address before sending messages. On the other hand, our developed robot is basically operated by voice due to realizing the simple user interface. Therefore, we suggested a message exchange learning-type destination estimation method that enables elderly people not to express a message destination address explicitly. We also designed the Social Media Agency Robot based on the service-oriented architecture that enables us easily to use open innovation such as external cloud-based services. We developed the prototype system including the message exchange learning-type destination estimation method. Then, we did an experiment to evaluate our prototype system at a house for the elderly with the care service and detached houses in the Nagasaki prefecture. We confirmed the effectiveness of the message destination estimation through the real message exchange experiment by the elderly. We also evaluated the usability of the prototype system through the interview with the experiment subject. © 2018 Information Processing Society of Japan.;Ref021
