AU;TI;PY;AB;AB_Clean;DI;UT;Country;Field;Subject;Quartile
Papadopoulos T., Stamati T., Nikolaidou M., Anagnostopoulos D.;From open source to open innovation practices: A case in the greek context in light of the debt crisis;2013;"""Open"" practices have been at the forefront of research, business and political agendas for some time. Traditionally, research has focused on analysing critical factors for the deployment of Open Source (OS) Software and has highlighted the roles of ""Collective Intelligence"" and ""participation in voluntary communities"" in facilitating OS development. Nevertheless, there is little literature examining the role these Open Innovation (OI) practices may play in influencing the private-collective model of innovation and its application in economies-in-crisis to create public-good innovations. To address this gap, this paper uses the case of Greece. Data were gathered from interviews conducted with public policy makers and private sector top executives. The findings underline the importance of using OS as software to deal with cost reduction during debt crisis; but more importantly reveal a shift from OS to utilising the aforementioned OI practices to support the creation of public-good innovations through the private-collective model of innovation, and the difficulties faced in encouraging this initiative due to insufficient national innovation policy, and different philosophies, structures, and cultures followed by the organisations. The study calls for changes in the national policy supported by the private-collective model to leverage innovation. © 2012 Elsevier Inc.";"Open practices have been at the forefront of research, business and political agendas for some time. Traditionally, research has focused on analysing critical factors for the deployment of Open Source (OS) Software and has highlighted the roles of ""Collective Intelligence"" and ""participation in voluntary communities"" in facilitating OS development. Nevertheless, there is little literature examining the role these Open Innovation practices may play in influencing the private-collective model of innovation and its application in economies-in-crisis to create public-good innovations. To address this gap, this paper uses the case of Greece. Data were gathered from interviews conducted with public policy makers and private sector top executives. The findings underline the importance of using OS as software to deal with cost reduction during debt crisis; but more importantly reveal a shift from OS to utilising the aforementioned Open Innovation practices to support the creation of public-good innovations through the private-collective model of innovation, and the difficulties faced in encouraging this initiative due to insufficient national innovation policy, and different philosophies, structures, and cultures followed by the organisations. The study calls for changes in the national policy supported by the private-collective model to leverage innovation. ";10.1016/j.techfore.2012.10.030;2-s2.0-84878350452;United Kingdom;"Business, Management and Accounting; Psychology";Social Sciences & Humanities;Q1
Tirmizi S.M.A., Malik Q.A., Hussain S.S.;Invention and open innovation processes, and linkages: A conceptual framework;2020;"A conceptual model has been developed to present comprehensively the processes and linkages of invention and open innovation for those knowledge workers who want to transform idea of a new product or service into a reality. The progression of idea conceptualization, realization and marketing is further divided into two phases; first is invention and second is open innovation. These phases are integrated into a complex framework representing a comprehensive flowchart which provides a snapshot of gradual transition of invention processes into open innovation processes. The conceptual model rests on existing literature that methodologically connects access to finance, funding constraints, cognitive and social dimensions, skills, mental model, conceptual knowledge and knowledge production capacity of the scientists (i.e., knowledge worker), scope and pioneering of the invention, technological infrastructure, collaboration with private firms and universities and utilization of digital technologies. The invention, as well as open innovation activities, are discussed with respect to World Intellectual Property Organization and Global Innovation Index country rankings and the number of patents filed and granted to the world including Pakistan. The framework is a rigorous but rewarding process for a knowledge worker who designs and develops a new product, process, procedure, mechanism and methodology to serve humanity and the marketplace. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.";"A conceptual model has been developed to present comprehensively the processes and linkages of invention and Open Innovation for those knowledge workers who want to transform idea of a new product or service into a reality. The progression of idea conceptualization, realization and marketing is further divided into two phases; first is invention and second is Open Innovation. These phases are integrated into a complex framework representing a comprehensive flowchart which provides a snapshot of gradual transition of invention processes into Open Innovation processes. The conceptual model rests on existing literature that methodologically connects access to finance, funding constraints, cognitive and social dimensions, skills, mental model, conceptual knowledge and knowledge production capacity of the scientists (i.e., knowledge worker), scope and pioneering of the invention, technological infrastructure, collaboration with private firms and universities and utilization of digital technologies. The invention, as well as Open Innovation activities, are discussed with respect to World Intellectual Property Organization and Global Innovation Index country rankings and the number of patents filed and granted to the world including Pakistan. The framework is a rigorous but rewarding process for a knowledge worker who designs and develops a new product, process, procedure, mechanism and methodology to serve humanity and the marketplace. ";10.3390/joitmc6040159;2-s2.0-85096406255;Pakistan;"Economics, Econometrics and Finance; Social Sciences";Social Sciences & Humanities;Q1
Bianchi M., Campodall'Orto S., Frattini F., Vercesi P.;Enabling open innovation in small- and medium-sized enterprises: How to find alternative applications for your technologies;2010;A critical success factor in the practice of Open Innovation is the timely identification of opportunities for out-licensing a firm's technologies outside its core business. This can be particularly challenging for small- and medium-sized enterprise (SMEs), because of their focussed business portfolio, specialized knowledge basis, and limited financial resources that can be devoted to innovation activities. The paper illustrates a quick and easy-to-use methodology for the identification of viable opportunities for out-licensing a firm's technologies outside its core business. The method uses established TRIZ instruments in combination with non-financial weighting and ranking techniques and portfolio management tools. It has been developed by the authors in collaboration with an Italian SME working in the packaging industry. © 2010 The Authors. Journal compilation © 2010 Blackwell Publishing Ltd.;A critical success factor in the practice of Open Innovation is the timely identification of opportunities for out-licensing a firm's technologies outside its core business. This can be particularly challenging for small- and medium-sized enterprise (SMEs), because of their focussed business portfolio, specialized knowledge basis, and limited financial resources that can be devoted to innovation activities. The paper illustrates a quick and easy-to-use methodology for the identification of viable opportunities for out-licensing a firm's technologies outside its core business. The method uses established TRIZ instruments in combination with non-financial weighting and ranking techniques and portfolio management tools. It has been developed by the authors in collaboration with an Italian SME working in the packaging industry. ;10.1111/j.1467-9310.2010.00613.x;2-s2.0-77955977614;Italy;Business, Management and Accounting;Social Sciences & Humanities;Q1
Sarkar S., Costa A.I.A.;Dynamics of open innovation in the food industry;2008;A growing number of chain actors, together with difficulties in single-handedly meeting the heterogeneous needs of customers, end-users and legislators, is driving the food industry to open up to external sources of knowledge in search of successful new products and technologies. Empirical evidence of food companies engaging in open innovation remains, however, scarce, as do detailed analyses of related business strategies. We review extant literature on open innovation practices in the food industry and analyze their effects on the sector's innovation capabilities and market outcomes. Finally, we draw implications for food innovation and highlight areas where research is needed. © 2008 Elsevier Ltd. All rights reserved.;A growing number of chain actors, together with difficulties in single-handedly meeting the heterogeneous needs of customers, end-users and legislators, is driving the food industry to open up to external sources of knowledge in search of successful new products and technologies. Empirical evidence of food companies engaging in Open Innovation remains, however, scarce, as do detailed analyses of related business strategies. We review extant literature on Open Innovation practices in the food industry and analyze their effects on the sector's innovation capabilities and market outcomes. Finally, we draw implications for food innovation and highlight areas where research is needed. ;10.1016/j.tifs.2008.09.006;2-s2.0-55549101557;Portugal;"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology";Life Sciences;Q1
Yoon S., Jeong S.;Effects to implement the open-innovation coordinative strategies between manufacturer and retailer in reverse supply chain;2017;A reverse supply chain, as a post-consumption activity, aims at extracting value from products at end of their life cycle (Mafakher and Nasiri, Journal of Cleaner Production 59: 185-196, 2013). As well, company's awareness is attracting increasing attention toward sustainable business practices. Open-innovation is a typical example of coordinative activity that a manufacturer should share a profits generated through reverse supply chain with retailer. The aim of this paper provide insights toward open innovation practice in sharing profits between two strategic partners, manufacturer and retailer to maximize an individual profits as well as total profits concurrently in reverse supply chain. For analyzing effects of open innovation strategies, we modeled reverse supply chain environments using system dynamics approach and compared the gap of profits between non-coordinative (decentralized) and coordinative activity. Three cooperative contracts in terms of how to share the cost and profit between two parties are proposed in this paper. Each contract was analyzed according to the following three contract processes. The first stage is that manufacturer proposes contracts to retailer. The second is that retailer evaluates proposed contracts and choices the best contract which can lead to maximize its expected profit. Finally retailer and manufacturer adjust parameters of the best contract for achieving mutual goal of supply chain. Through the experimental results, we discuss best coordinative strategy between manufacturer and retailer in order to maximize a profit in reverse SC. © The Author(s). 2017.;A reverse supply chain, as a post-consumption activity, aims at extracting value from products at end of their life cycle (Mafakher and Nasiri, Journal of Cleaner Production 59: 185-196, 2013). As well, company's awareness is attracting increasing attention toward sustainable business practices. Open-innovation is a typical example of coordinative activity that a manufacturer should share a profits generated through reverse supply chain with retailer. The aim of this paper provide insights toward Open Innovation practice in sharing profits between two strategic partners, manufacturer and retailer to maximize an individual profits as well as total profits concurrently in reverse supply chain. For analyzing effects of Open Innovation strategies, we modeled reverse supply chain environments using system dynamics approach and compared the gap of profits between non-coordinative (decentralized) and coordinative activity. Three cooperative contracts in terms of how to share the cost and profit between two parties are proposed in this paper. Each contract was analyzed according to the following three contract processes. The first stage is that manufacturer proposes contracts to retailer. The second is that retailer evaluates proposed contracts and choices the best contract which can lead to maximize its expected profit. Finally retailer and manufacturer adjust parameters of the best contract for achieving mutual goal of supply chain. Through the experimental results, we discuss best coordinative strategy between manufacturer and retailer in order to maximize a profit in reverse SC. ;10.1186/s40852-017-0054-3;2-s2.0-85033401124;South Korea;"Economics, Econometrics and Finance; Social Sciences";Social Sciences & Humanities;Q1
Kim J., Choi S.O.;"The intensity of organizational change and the perception of organizational innovativeness; with discussion on open innovation";2020;Each individual member of an organization must recognize and lead innovation, which can be affected by human resource development (HRD) investments and organizational changes. In this study, we aimed to verify how HRD investment at the individual level relates to employee perceptions of organizational innovativeness and to examine how the intensity of organizational change, a situational factor at the organizational level, affects the relationship between HRD investment and employee perceptions of organizational innovativeness through multilevel analysis using hierarchical linear models. We performed an analysis based on the responses from5184 workers and 125 companies where corporate-level and personal-level data were matched in a Human Capital Corporate Panel (HCCP) survey. HRDinvestment by employees was shown to increase the perception of organizational innovativeness. The results demonstrated that the intensity of organizational change moderated the relationship between HRD investment and the perception of organizational innovativeness. However, the stronger the organizational change intensity, the weaker the positive effect of HRD investment on the perception of organizational innovativeness. Finally, we presented theoretical and practical implications and further research tasks related to the HRD of corporations and open innovation. © 2020 by the authors.;Each individual member of an organization must recognize and lead innovation, which can be affected by human resource development (HRD) investments and organizational changes. In this study, we aimed to verify how HRD investment at the individual level relates to employee perceptions of organizational innovativeness and to examine how the intensity of organizational change, a situational factor at the organizational level, affects the relationship between HRD investment and employee perceptions of organizational innovativeness through multilevel analysis using hierarchical linear models. We performed an analysis based on the responses from5184 workers and 125 companies where corporate-level and personal-level data were matched in a Human Capital Corporate Panel (HCCP) survey. HRDinvestment by employees was shown to increase the perception of organizational innovativeness. The results demonstrated that the intensity of organizational change moderated the relationship between HRD investment and the perception of organizational innovativeness. However, the stronger the organizational change intensity, the weaker the positive effect of HRD investment on the perception of organizational innovativeness. Finally, we presented theoretical and practical implications and further research tasks related to the HRD of corporations and Open Innovation. ;10.3390/JOITMC6030066;2-s2.0-85090425875;South Korea;"Economics, Econometrics and Finance; Social Sciences";Social Sciences & Humanities;Q1
Shearmur R., Doloreux D.;How open innovation processes vary between urban and remote environments: slow innovators, market-sourced information and frequency of interaction;2016;Geographic research on firm-level innovation is generally premised on the idea of open innovation, suggesting that innovation occurs more readily in urban settings or clusters, which generate local buzz and allow access to external actors. However, a growing body of evidence demonstrates that firms also introduce first-to-market innovations in remote locations. In this exploratory paper, building upon work by Philip McCann, we outline a conceptual framework that connects innovators (differentiated by information source and frequency of interaction with interlocutors) and location (distance from a metropolitan area): slow innovators, relying on non-market-sourced information and infrequent contacts, will be overrepresented in isolated locations. Fast innovators, relying on market-sourced information and frequent interactions, will locate closer to cities. Our results confirm this. Our interpretation of these results – slow innovators are more reliant on technological information which loses value more slowly than faster decaying market-oriented information – requires further investigation. © 2016 Informa UK Limited, trading as Taylor & Francis Group.;Geographic research on firm-level innovation is generally premised on the idea of Open Innovation, suggesting that innovation occurs more readily in urban settings or clusters, which generate local buzz and allow access to external actors. However, a growing body of evidence demonstrates that firms also introduce first-to-market innovations in remote locations. In this exploratory paper, building upon work by Philip McCann, we outline a conceptual framework that connects innovators (differentiated by information source and frequency of interaction with interlocutors) and location (distance from a metropolitan area): slow innovators, relying on non-market-sourced information and infrequent contacts, will be overrepresented in isolated locations. Fast innovators, relying on market-sourced information and frequent interactions, will locate closer to cities. Our results confirm this. Our interpretation of these results – slow innovators are more reliant on technological information which loses value more slowly than faster decaying market-oriented information – requires further investigation. ;10.1080/08985626.2016.1154984;2-s2.0-84961203459;Canada;"Business, Management and Accounting; Economics, Econometrics and Finance";Social Sciences & Humanities;Q1
Vélez-Rolón A.M., Méndez-Pinzón M., Acevedo O.L.;Open innovation community for university–industry knowledge transfer: A Colombian case;2020;Academia–enterprise collaboration is understood as a determinant that improves innovation and competitiveness. The mechanisms by which this collaboration occurs have awakened increasing interest among academics, as well as in the business sector. This research aims to identify how open innovation communities can mediate the academia-enterprise relationship, as well as the factors that are more affected by this mediation. Based on the literature, the article addresses the definition of open innovation communities (OICs), university–enterprise cooperation, knowledge transfer (KT), as well as an understanding of OICs as a mechanism for academia–enterprise transfer. An analysis of twelve OICs, conformed by professors, students, graduates, and experts from a Colombian higher education institution is performed. For the data analysis, a factor analysis involving structural equation modeling is carried out. Our results highlight the most important characteristics to take into account in the study of knowledge transfer when OICs are involved, and they also indicate the level of connection between these factors. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.;Academia–enterprise collaboration is understood as a determinant that improves innovation and competitiveness. The mechanisms by which this collaboration occurs have awakened increasing interest among academics, as well as in the business sector. This research aims to identify how Open Innovation communities can mediate the academia-enterprise relationship, as well as the factors that are more affected by this mediation. Based on the literature, the article addresses the definition of Open Innovation communities (OICs), university–enterprise cooperation, knowledge transfer (KT), as well as an understanding of OICs as a mechanism for academia–enterprise transfer. An analysis of twelve OICs, conformed by professors, students, graduates, and experts from a Colombian higher education institution is performed. For the data analysis, a factor analysis involving structural equation modeling is carried out. Our results highlight the most important characteristics to take into account in the study of knowledge transfer when OICs are involved, and they also indicate the level of connection between these factors. ;10.3390/joitmc6040181;2-s2.0-85098505007;Colombia;"Economics, Econometrics and Finance; Social Sciences";Social Sciences & Humanities;Q1
Wang C.-H., Chang C.-H., Shen G.C.;The effect of inbound open innovation on firm performance: Evidence from high-tech industry;2015;"Academics and practitioners have demonstrated that open innovation is critical to superior performance; firms thereby connect their in-house R&D functions with external partners to enhance their innovation activities. This study extends the open innovation theory and the knowledge-based view to explain how a firm's external knowledge resource acquisition influences its innovation deployment as well as its performance. Specifically, we argue that technology scouting plays an important role as an antecedent to collaboration with horizontal and vertical technology acquisitions. Furthermore, the horizontal technology collaboration and vertical technology collaboration play mediators in determining firm performance returns from executing such acquisitions. Based on a large-scale survey of high-tech firms, the study finds that the ability to build well-developed external connection channels increases the efficacy of inbound open innovation in achieving superior performance. © 2015 Elsevier Inc.";"Academics and practitioners have demonstrated that Open Innovation is critical to superior performance; firms thereby connect their in-house R&D functions with external partners to enhance their innovation activities. This study extends the Open Innovation theory and the knowledge-based view to explain how a firm's external knowledge resource acquisition influences its innovation deployment as well as its performance. Specifically, we argue that technology scouting plays an important role as an antecedent to collaboration with horizontal and vertical technology acquisitions. Furthermore, the horizontal technology collaboration and vertical technology collaboration play mediators in determining firm performance returns from executing such acquisitions. Based on a large-scale survey of high-tech firms, the study finds that the ability to build well-developed external connection channels increases the efficacy of inbound Open Innovation in achieving superior performance. ";10.1016/j.techfore.2015.07.006;2-s2.0-84937396637;Taiwan;"Business, Management and Accounting; Psychology";Social Sciences & Humanities;Q1
Pikkarainen M., Hyrkäs E., Martin M.;Success factors of demand-driven open innovation as a policy instrument in the case of the healthcare industry;2020;According to the WHO Global Digital Health Strategy 2020-2024, we should advocate people-centred health systems, promote global collaboration and strengthen the governance of global digital health practices. All this requires a new open innovation approach, which means that stakeholders from regional administrations, hospitals, companies and intermediate organisations openly work together towards commonly identified global and regional digital health goals. Although both practice and theory have proven that the open innovation approach is beneficial for companies and end-users, there is still a need for increased understanding of what leads to the success of digital health related to regional competitiveness through the implementation of policies based on people-centred open innovation. This study is a longitudinal case study in which open innovation ecosystem partners (including challengers (healthcare organisation representatives), solvers (companies), funders (policy organisations) and supporters (intermediate organisations) were monitored and analysed in three countries. The focus of the paper is to explore a digital health open innovation ecosystem over the years. The results show that the created demand-driven open innovation model can be used to strengthen the governance of digital health, and to improve communication density and knowledge transfer between the ecosystem actors. The new model is a useful way to make funding structures clearer and to improve the people centricity of digital health solutions. The findings help policy-makers to use open innovation as a policy instrument supporting hospital and company managers to increase understanding of the opportunities of demand-driven open innovation. © 2020 by the authors.;According to the WHO Global Digital Health Strategy 2020-2024, we should advocate people-centred health systems, promote global collaboration and strengthen the governance of global digital health practices. All this requires a new Open Innovation approach, which means that stakeholders from regional administrations, hospitals, companies and intermediate organisations openly work together towards commonly identified global and regional digital health goals. Although both practice and theory have proven that the Open Innovation approach is beneficial for companies and end-users, there is still a need for increased understanding of what leads to the success of digital health related to regional competitiveness through the implementation of policies based on people-centred Open Innovation. This study is a longitudinal case study in which Open Innovation ecosystem partners (including challengers (healthcare organisation representatives), solvers (companies), funders (policy organisations) and supporters (intermediate organisations) were monitored and analysed in three countries. The focus of the paper is to explore a digital health Open Innovation ecosystem over the years. The results show that the created demand-driven Open Innovation model can be used to strengthen the governance of digital health, and to improve communication density and knowledge transfer between the ecosystem actors. The new model is a useful way to make funding structures clearer and to improve the people centricity of digital health solutions. The findings help policy-makers to use Open Innovation as a policy instrument supporting hospital and company managers to increase understanding of the opportunities of demand-driven Open Innovation. ;10.3390/JOITMC6020039;2-s2.0-85086131000;Finland;"Economics, Econometrics and Finance; Social Sciences";Social Sciences & Humanities;Q1
