DATA;MARCA;ORIGEM;LL;P1;P2;P3;ROI
2021T2;Marca1;Origem1;0;9479280,949;239975;39700837,28;1,066264189
2021T2;Marca1;Origem2;0;33459864,76;478635;71974877,54;1,22522693
2021T2;Marca1;Origem3;0;0;0;39251146;0
2021T2;Marca2;Origem1;0;4344180;0;101037504;1,78991324
2021T2;Marca2;Origem2;0;11056932;0;424764281,4;1,469180086
2021T2;Marca2;Origem3;0;160738;0;132502983,9;0
2021T2;Marca3;Origem4;0;0;0;4505070;1,369138347
2021T2;Marca3;Origem5;0;0;0;2547734;1,788681159
2021T2;Marca3;Origem1;0;18156818,46;52964982,27;73533227,15;1,993047978
2021T2;Marca3;Origem2;0;23174580,44;68155599,78;183185076,7;2,350663103
2021T2;Marca3;Origem3;0;1600747;0;64931748;1,204641415
2021T2;Marca4;Origem1;0;262588743,1;0;198447231;1,358760286
2021T2;Marca4;Origem2;0;240762524,9;0;201889610,5;1,532214131
2021T2;Marca5;Origem1;0;10483960,46;0;136631685,4;2,106272593
2021T2;Marca5;Origem2;0;361931;0;169140335,5;2,599467541
2021T2;Marca5;Origem3;0;0;0;35448984;1,339153702
2021T2;Marca6;Origem1;0;39787407,96;0;191893953,4;2,576076387
2021T2;Marca6;Origem2;0;107199396,1;0;88354440,93;2,760796102
2021T2;Marca6;Origem3;0;0;0;12136613;1,082026634
2021T3;Marca1;Origem4;0;0;0;2766235;0
2021T3;Marca1;Origem1;17888664;2222919;32677660;3825903;1,025431508
2021T3;Marca1;Origem2;57729611;2893078;77345974;6336394;1,233352179
2021T3;Marca1;Origem3;0;0;0;3575093;1,015799675
2021T3;Marca1;Origem6;0;0;0;4496541;0
2021T3;Marca2;Origem4;0;40096234;0;46575429;1,395539285
2021T3;Marca2;Origem5;0;43106146;0;6635576;1,36104118
2021T3;Marca2;Origem1;0;94156189;230699558;6053414;1,055088455
2021T3;Marca2;Origem2;0;161702455;659234391;12003559;0
2021T3;Marca2;Origem3;0;45474;0;143074697;0
2021T3;Marca3;Origem4;0;5800789;0;86430185;1,033433339
2021T3;Marca3;Origem5;0;0;0;21639093;1,546697308
2021T3;Marca3;Origem1;0;119754061;8705;263916835;1,195452352
2021T3;Marca3;Origem2;0;66815181;428291;339321691;1,863548679
2021T3;Marca3;Origem3;0;0;0;271503603;0
2021T3;Marca3;Origem6;0;0;0;340352331;1,452676542
2021T3;Marca4;Origem4;0;30822468;0;48696926;0
2021T3;Marca4;Origem5;0;38909614;0;7040918;1,367058882
2021T3;Marca4;Origem1;0;116106127;319927970;11468385;1,232720975
2021T3;Marca4;Origem2;0;87147953;442902677;14099555;1,219431602
2021T3;Marca5;Origem4;0;66849584;0;0;1,528918714
2021T3;Marca5;Origem5;0;0;0;13225593;1,904864189
2021T3;Marca5;Origem1;0;75579249;164103570;6701608;1,685625114
2021T3;Marca5;Origem2;0;106640003;383512708;8234052;1,886899425
2021T3;Marca5;Origem3;0;0;0;28887599;1,487365538
2021T3;Marca6;Origem4;0;5460421;0;23047258;1,918733392
2021T3;Marca6;Origem1;0;30740217;138576219;11360189;2,738123144
2021T3;Marca6;Origem2;0;63122268;186280547;4204513;2,896463526
2021T3;Marca6;Origem3;0;0;22813602;32638817;1,04109536
2021T4;Marca1;Origem1;354001;0;1066858;0;1,440710673
2021T4;Marca1;Origem2;1724250;0;2325634;0;1,706127615
2021T4;Marca1;Origem3;0;0;3514188;0;1,021017102
2021T4;Marca2;Origem4;0;0;0;42448680;1,416644872
2021T4;Marca2;Origem5;0;0;7379108;8014541;1,535796867
2021T4;Marca2;Origem1;56411996;96943126;190136565;0;1,188482046
2021T4;Marca2;Origem2;49035290;123241487;340324789;0;1,442280334
2021T4;Marca2;Origem3;0;0;59595476;0;0
2021T4;Marca3;Origem4;0;24810941;0;20631639;0
2021T4;Marca3;Origem5;0;0;0;68093766;1,048854655
2021T4;Marca3;Origem1;29134734;56717040;118453218;31303477;1,26117232
2021T4;Marca3;Origem2;51137768;29854673;111424690;21951165;1,882584513
2021T4;Marca3;Origem3;0;0;33786382;0;1,052109417
2021T4;Marca4;Origem4;0;23365065;0;96254926;1,526478204
2021T4;Marca4;Origem5;0;0;0;150040347;1,278891857
2021T4;Marca4;Origem1;117622653;6166412;292291032;0;1,279944164
2021T4;Marca4;Origem2;83696597;5687750;294100909;0;1,48540932
2021T4;Marca4;Origem6;0;0;5317025;0;3,347302452
2021T4;Marca5;Origem4;3659146;0;0;31046975;1,220563982
2021T4;Marca5;Origem5;0;0;28898967;14461934;1,673667104
2021T4;Marca5;Origem1;84615464;12902929;189388749;0;1,406126378
2021T4;Marca5;Origem2;87089686;21997422;235594047;0;1,892335024
2021T4;Marca5;Origem3;0;0;59942127;0;0
2021T4;Marca5;Origem6;0;0;96712986;0;1,64416048
2021T4;Marca6;Origem4;330764;265212;0;937671;2,369660866
2021T4;Marca6;Origem5;0;9665055;0;26221333;1,450223753
2021T4;Marca6;Origem1;5708368;22768377;82125564;0;3,032374999
2021T4;Marca6;Origem2;7825910;36924162;105521313;0;2,924026588
2021T4;Marca6;Origem7;0;0;0;16101644;0
2021T4;Marca6;Origem3;0;0;7778688;0;1,753133697
2021T4;Marca6;Origem6;0;0;36201858;0;1,956529066
2022T1;Marca1;Origem4;0;1037745;164189;0;1,552906917
2022T1;Marca1;Origem5;0;0;7112684;0;1,611709504
2022T1;Marca1;Origem1;34339;0;18667214;0;0
2022T1;Marca1;Origem1;1009922;958095;3422728;0;1,122925163
2022T1;Marca1;Origem1;0;0;676415;0;0
2022T1;Marca1;Origem1;266342;306487;32408405;0;1,127405697
2022T1;Marca1;Origem2;230662;0;11211913;0;1,152976529
2022T1;Marca1;Origem2;82224;1155;97248;0;2,003503386
2022T1;Marca1;Origem2;0;0;1302000;0;0
2022T1;Marca1;Origem2;1114701;409085;64738400;0;1,78219205
2022T1;Marca1;Origem3;0;0;117788;0;4,670616859
2022T1;Marca1;Origem3;0;0;1587581;0;0
