date,unity,n
2020-01-01,ent,0.0
2020-01-01,evo,0.0
2020-01-01,int,0.0
2020-01-01,pri,0.0
2020-01-01,sai,0.0
2020-01-02,ent,0.0
2020-01-02,evo,0.0
2020-01-02,int,0.0
2020-01-02,pri,0.0
2020-01-02,sai,0.0
2020-01-03,ent,0.0
2020-01-03,evo,1.0
2020-01-03,int,1.0
2020-01-03,pri,1.0
2020-01-03,sai,0.0
2020-01-04,ent,315.0
2020-01-04,evo,825.0
2020-01-04,int,815.0
2020-01-04,pri,883.0
2020-01-04,sai,173.0
2020-01-05,ent,487.0
2020-01-05,evo,1767.0
2020-01-05,int,1739.0
2020-01-05,pri,1967.0
2020-01-05,sai,277.0
2020-01-06,ent,1091.0
2020-01-06,evo,3109.0
2020-01-06,int,3177.0
2020-01-06,pri,3524.0
2020-01-06,sai,614.0
2020-01-07,ent,1073.0
2020-01-07,evo,3110.0
2020-01-07,int,3109.0
2020-01-07,pri,3545.0
2020-01-07,sai,678.0
2020-01-08,ent,543.0
2020-01-08,evo,1615.0
2020-01-08,int,1693.0
2020-01-08,pri,1813.0
2020-01-08,sai,322.0
2020-01-09,ent,889.0
2020-01-09,evo,2352.0
2020-01-09,int,2504.0
2020-01-09,pri,2629.0
2020-01-09,sai,533.0
2020-01-10,ent,591.0
2020-01-10,evo,1618.0
2020-01-10,int,1710.0
2020-01-10,pri,1795.0
2020-01-10,sai,370.0
2020-01-11,ent,266.0
2020-01-11,evo,730.0
2020-01-11,int,802.0
2020-01-11,pri,851.0
2020-01-11,sai,147.0
2020-01-12,ent,1015.0
2020-01-12,evo,2813.0
2020-01-12,int,3043.0
2020-01-12,pri,3242.0
2020-01-12,sai,546.0
2020-01-13,ent,0.0
2020-01-13,evo,0.0
2020-01-13,int,0.0
2020-01-13,pri,0.0
2020-01-13,sai,0.0
2020-01-14,ent,0.0
2020-01-14,evo,0.0
2020-01-14,int,0.0
2020-01-14,pri,0.0
2020-01-14,sai,0.0
2020-01-15,ent,0.0
2020-01-15,evo,0.0
2020-01-15,int,0.0
2020-01-15,pri,0.0
2020-01-15,sai,0.0
2020-01-16,ent,0.0
2020-01-16,evo,0.0
2020-01-16,int,0.0
2020-01-16,pri,0.0
2020-01-16,sai,0.0
2020-01-17,ent,0.0
2020-01-17,evo,0.0
2020-01-17,int,0.0
2020-01-17,pri,0.0
2020-01-17,sai,0.0
2020-01-18,ent,0.0
2020-01-18,evo,0.0
2020-01-18,int,0.0
2020-01-18,pri,0.0
2020-01-18,sai,0.0
2020-01-19,ent,0.0
2020-01-19,evo,0.0
2020-01-19,int,0.0
2020-01-19,pri,0.0
2020-01-19,sai,0.0
2020-01-20,ent,0.0
2020-01-20,evo,0.0
2020-01-20,int,0.0
2020-01-20,pri,0.0
2020-01-20,sai,0.0
2020-01-21,ent,0.0
2020-01-21,evo,0.0
2020-01-21,int,0.0
2020-01-21,pri,0.0
2020-01-21,sai,0.0
2020-01-22,ent,0.0
2020-01-22,evo,0.0
2020-01-22,int,0.0
2020-01-22,pri,0.0
2020-01-22,sai,0.0
2020-01-23,ent,0.0
2020-01-23,evo,0.0
2020-01-23,int,0.0
2020-01-23,pri,0.0
2020-01-23,sai,0.0
2020-01-24,ent,0.0
2020-01-24,evo,0.0
2020-01-24,int,0.0
2020-01-24,pri,0.0
2020-01-24,sai,0.0
2020-01-25,ent,0.0
2020-01-25,evo,0.0
2020-01-25,int,0.0
2020-01-25,pri,0.0
2020-01-25,sai,0.0
2020-01-26,ent,0.0
2020-01-26,evo,0.0
2020-01-26,int,0.0
2020-01-26,pri,0.0
2020-01-26,sai,0.0
2020-01-27,ent,0.0
2020-01-27,evo,0.0
2020-01-27,int,0.0
2020-01-27,pri,0.0
2020-01-27,sai,0.0
2020-01-28,ent,0.0
2020-01-28,evo,0.0
2020-01-28,int,0.0
2020-01-28,pri,0.0
2020-01-28,sai,0.0
2020-01-29,ent,0.0
2020-01-29,evo,0.0
2020-01-29,int,0.0
2020-01-29,pri,0.0
2020-01-29,sai,0.0
2020-01-30,ent,0.0
2020-01-30,evo,0.0
2020-01-30,int,0.0
2020-01-30,pri,0.0
2020-01-30,sai,0.0
2020-01-31,ent,0.0
2020-01-31,evo,0.0
2020-01-31,int,0.0
2020-01-31,pri,0.0
2020-01-31,sai,0.0
2020-02-01,ent,0.0
2020-02-01,evo,0.0
2020-02-01,int,0.0
2020-02-01,pri,0.0
2020-02-01,sai,0.0
2020-02-02,ent,0.0
2020-02-02,evo,0.0
2020-02-02,int,0.0
2020-02-02,pri,0.0
2020-02-02,sai,0.0
2020-02-03,ent,1.0
2020-02-03,evo,3.0
2020-02-03,int,4.0
2020-02-03,pri,5.0
2020-02-03,sai,1.0
2020-02-04,ent,333.0
2020-02-04,evo,846.0
2020-02-04,int,834.0
2020-02-04,pri,896.0
2020-02-04,sai,170.0
2020-02-05,ent,408.0
2020-02-05,evo,1580.0
2020-02-05,int,1579.0
2020-02-05,pri,1772.0
2020-02-05,sai,211.0
2020-02-06,ent,918.0
2020-02-06,evo,2808.0
2020-02-06,int,2837.0
2020-02-06,pri,3200.0
2020-02-06,sai,478.0
2020-02-07,ent,1060.0
2020-02-07,evo,3046.0
2020-02-07,int,3138.0
2020-02-07,pri,3542.0
2020-02-07,sai,648.0
2020-02-08,ent,503.0
2020-02-08,evo,1404.0
2020-02-08,int,1508.0
2020-02-08,pri,1609.0
2020-02-08,sai,309.0
2020-02-09,ent,765.0
2020-02-09,evo,2138.0
2020-02-09,int,2324.0
2020-02-09,pri,2432.0
2020-02-09,sai,465.0
2020-02-10,ent,577.0
2020-02-10,evo,1610.0
2020-02-10,int,1716.0
2020-02-10,pri,1813.0
2020-02-10,sai,328.0
2020-02-11,ent,354.0
2020-02-11,evo,849.0
2020-02-11,int,938.0
2020-02-11,pri,986.0
2020-02-11,sai,183.0
2020-02-12,ent,935.0
2020-02-12,evo,2617.0
2020-02-12,int,2844.0
2020-02-12,pri,3032.0
2020-02-12,sai,515.0
2020-02-13,ent,0.0
2020-02-13,evo,0.0
2020-02-13,int,0.0
2020-02-13,pri,0.0
2020-02-13,sai,0.0
2020-02-14,ent,0.0
2020-02-14,evo,0.0
2020-02-14,int,0.0
2020-02-14,pri,0.0
2020-02-14,sai,0.0
2020-02-15,ent,0.0
2020-02-15,evo,0.0
2020-02-15,int,0.0
2020-02-15,pri,0.0
2020-02-15,sai,0.0
2020-02-16,ent,0.0
2020-02-16,evo,0.0
2020-02-16,int,0.0
2020-02-16,pri,0.0
2020-02-16,sai,0.0
2020-02-17,ent,0.0
2020-02-17,evo,0.0
2020-02-17,int,0.0
2020-02-17,pri,0.0
2020-02-17,sai,0.0
2020-02-18,ent,0.0
2020-02-18,evo,0.0
2020-02-18,int,0.0
2020-02-18,pri,0.0
2020-02-18,sai,0.0
2020-02-19,ent,0.0
2020-02-19,evo,0.0
2020-02-19,int,0.0
2020-02-19,pri,0.0
2020-02-19,sai,0.0
2020-02-20,ent,0.0
2020-02-20,evo,0.0
2020-02-20,int,0.0
2020-02-20,pri,0.0
2020-02-20,sai,0.0
2020-02-21,ent,0.0
2020-02-21,evo,0.0
2020-02-21,int,0.0
2020-02-21,pri,0.0
2020-02-21,sai,0.0
2020-02-22,ent,0.0
2020-02-22,evo,2.0
2020-02-22,int,1.0
2020-02-22,pri,2.0
2020-02-22,sai,0.0
2020-02-23,ent,0.0
2020-02-23,evo,1.0
2020-02-23,int,1.0
2020-02-23,pri,1.0
2020-02-23,sai,0.0
2020-02-24,ent,1.0
2020-02-24,evo,1.0
2020-02-24,int,1.0
2020-02-24,pri,2.0
2020-02-24,sai,0.0
2020-02-25,ent,0.0
2020-02-25,evo,1.0
2020-02-25,int,1.0
2020-02-25,pri,1.0
2020-02-25,sai,0.0
2020-02-26,ent,1.0
2020-02-26,evo,3.0
2020-02-26,int,3.0
2020-02-26,pri,3.0
2020-02-26,sai,1.0
2020-02-27,ent,1.0
2020-02-27,evo,2.0
2020-02-27,int,2.0
2020-02-27,pri,2.0
2020-02-27,sai,0.0
2020-02-28,ent,1.0
2020-02-28,evo,1.0
2020-02-28,int,1.0
2020-02-28,pri,1.0
2020-02-28,sai,1.0
2020-02-29,ent,0.0
2020-02-29,evo,2.0
2020-02-29,int,2.0
2020-02-29,pri,3.0
2020-02-29,sai,0.0
2020-03-01,ent,0.0
2020-03-01,evo,0.0
2020-03-01,int,0.0
2020-03-01,pri,0.0
2020-03-01,sai,0.0
2020-03-02,ent,0.0
2020-03-02,evo,0.0
2020-03-02,int,0.0
2020-03-02,pri,0.0
2020-03-02,sai,0.0
2020-03-03,ent,1.0
2020-03-03,evo,1.0
2020-03-03,int,2.0
2020-03-03,pri,2.0
2020-03-03,sai,1.0
2020-03-04,ent,286.0
2020-03-04,evo,721.0
2020-03-04,int,713.0
2020-03-04,pri,781.0
2020-03-04,sai,163.0
2020-03-05,ent,349.0
2020-03-05,evo,1470.0
2020-03-05,int,1460.0
2020-03-05,pri,1642.0
2020-03-05,sai,203.0
2020-03-06,ent,926.0
2020-03-06,evo,2741.0
2020-03-06,int,2830.0
2020-03-06,pri,3128.0
2020-03-06,sai,502.0
2020-03-07,ent,990.0
2020-03-07,evo,2956.0
2020-03-07,int,3036.0
2020-03-07,pri,3362.0
2020-03-07,sai,599.0
2020-03-08,ent,1260.0
2020-03-08,evo,3358.0
2020-03-08,int,3494.0
2020-03-08,pri,3730.0
2020-03-08,sai,759.0
2020-03-09,ent,794.0
2020-03-09,evo,2138.0
2020-03-09,int,2234.0
2020-03-09,pri,2367.0
2020-03-09,sai,473.0
2020-03-10,ent,319.0
2020-03-10,evo,933.0
2020-03-10,int,1006.0
2020-03-10,pri,1054.0
2020-03-10,sai,196.0
2020-03-11,ent,812.0
2020-03-11,evo,1867.0
2020-03-11,int,2061.0
2020-03-11,pri,2164.0
2020-03-11,sai,458.0
2020-03-12,ent,971.0
2020-03-12,evo,2676.0
2020-03-12,int,2957.0
2020-03-12,pri,3127.0
2020-03-12,sai,553.0
2020-03-13,ent,7.0
2020-03-13,evo,19.0
