Year ;Documents 
1928;2
1929;0
1930;0
1931;1
1932;0
1933;1
1934;1
1935;1
1936;0
1937;0
1938;0
1939;0
1940;0
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;0
1959;0
1960;0
1961;0
1962;0
1963;0
1964;0
1965;0
1966;0
1967;0
1968;0
1969;0
1970;0
1971;1
1972;0
1973;0
1974;1
1975;0
1976;1
1977;0
1978;0
1979;1
1980;0
1981;0
1982;0
1983;1
1984;0
1985;2
1986;2
1987;4
1988;2
1989;7
1990;9
1991;14
1992;12
1993;10
1994;14
1995;13
1996;7
1997;14
1998;11
1999;7
2000;15
2001;21
2002;35
2003;24
2004;53
2005;77
2006;89
2007;98
2008;111
2009;183
2010;173
2011;171
2012;163
2013;170
2014;145
2015;128
2016;130
2017;159
2018;126
2019;103
